gene	I	II	III	IV
NABP1	1.1628	0	0	1.7544
SDPR	1.1628	0	0	1.7544
TMEFF2	1.1628	0	0	1.7544
PCGEM1	1.1628	0	0	1.7544
AC018799.1	1.1628	0	0	1.7544
AC006196.1	1.1628	0	0	1.7544
SLC39A10	0	0	0	1.7544
DNAH7	0	0	0	1.7544
STK17B	0	0	0	1.7544
HECW2	0	0	0	1.7544
AC020571.3	0	0	0	1.7544
CCDC150	0	0	0	1.7544
LOC100130452	0	0	0	1.7544
GTF3C3	0	0	0	1.7544
C2orf66	0	0	0	1.7544
PGAP1	0	0	0	1.7544
ANKRD44	0	0	0	1.7544
ANKRD44-IT1	0	0	0	1.7544
SF3B1	0	0	0	1.7544
COQ10B	0	0	0	1.7544
HSPD1	0	0	0	1.7544
HSPE1-MOB4	0	0	0	1.7544
HSPE1	0	0	0	1.7544
MOB4	0	0	0	1.7544
RFTN2	0	0	0	1.7544
MARS2	0	0	0	1.7544
BOLL	0	0	0	1.7544
PLCL1	0	0	0	1.7544
AC005235.1	0	0	0	1.7544
SATB2	0	1.1628	0	1.7544
SATB2-AS1	0	1.1628	0	1.7544
AC093590.1	0	1.1628	0	1.7544
FTCDNL1	0	1.1628	0	1.7544
C2orf69	0	1.1628	0	1.7544
TYW5	0	1.1628	0	1.7544
C2orf47	0	1.1628	0	1.7544
SPATS2L	0	1.1628	0	3.5088
KCTD18	0	1.1628	0	3.5088
SGOL2	0	1.1628	0	3.5088
AOX1	0	1.1628	0	3.5088
AOX2P	0	1.1628	0	3.5088
AC007163.3	0	1.1628	0	3.5088
AC007163.6	0	1.1628	0	3.5088
BZW1	0	1.1628	0	3.5088
CLK1	0	1.1628	0	3.5088
PPIL3	0	1.1628	0	3.5088
NIF3L1	0	1.1628	0	3.5088
ORC2	0	1.1628	0	3.5088
FAM126B	0	1.1628	0	5.2632
NDUFB3	0	1.1628	0	5.2632
CFLAR	1.1628	1.1628	0	5.2632
CFLAR-AS1	1.1628	1.1628	0	5.2632
CASP10	1.1628	1.1628	0	3.5088
CASP8	0	1.1628	0	3.5088
ALS2CR12	0	0	0	3.5088
TRAK2	0	0	0	3.5088
STRADB	0	0	0	3.5088
ALS2CR11	0	0	0	3.5088
TMEM237	0	1.1628	0	3.5088
MPP4	0	1.1628	0	3.5088
ALS2	0	1.1628	0	3.5088
CDK15	0	1.1628	0	3.5088
FZD7	0	1.1628	0	3.5088
LOC100652824	0	1.1628	0	3.5088
SUMO1	0	1.1628	0	3.5088
NOP58	0	1.1628	0	3.5088
SNORD70	0	1.1628	0	3.5088
SNORD11B	0	1.1628	0	3.5088
SNORD11	0	1.1628	0	3.5088
BMPR2	0	1.1628	0	3.5088
FAM117B	0	1.1628	0	3.5088
ICA1L	0	1.1628	0	3.5088
WDR12	0	1.1628	0	3.5088
CARF	0	1.1628	0	3.5088
NBEAL1	0	1.1628	0	3.5088
CYP20A1	0	1.1628	0	3.5088
ABI2	0	1.1628	1.7241	3.5088
RAPH1	0	1.1628	1.7241	3.5088
CD28	0	1.1628	0	3.5088
CTLA4	0	1.1628	0	3.5088
ICOS	0	2.3256	0	3.5088
PARD3B	0	3.4884	0	3.5088
NRP2	0	1.1628	0	3.5088
INO80D	0	1.1628	0	3.5088
GCSHP3	0	1.1628	0	3.5088
NDUFS1	0	1.1628	0	3.5088
EEF1B2	0	1.1628	0	3.5088
SNORA41	0	1.1628	0	3.5088
SNORD51	0	1.1628	0	3.5088
GPR1	0	1.1628	0	3.5088
GPR1-AS	0	1.1628	0	3.5088
ZDBF2	0	1.1628	0	3.5088
ADAM23	0	1.1628	0	1.7544
AC010731.4	0	1.1628	0	1.7544
DYTN	0	1.1628	0	1.7544
MDH1B	0	1.1628	0	1.7544
FASTKD2	0	1.1628	0	1.7544
MIR3130-1	0	1.1628	0	1.7544
MIR3130-2	0	1.1628	0	1.7544
hsa-mir-3130-1	0	1.1628	0	1.7544
hsa-mir-3130-3	0	1.1628	0	1.7544
CPO	0	1.1628	0	1.7544
KLF7	0	2.3256	0	1.7544
MIR2355	0	1.1628	0	1.7544
MIR7845	0	2.3256	0	1.7544
AC007879.2	0	2.3256	0	1.7544
hsa-mir-1302-4	0	2.3256	0	1.7544
CREB1	0	2.3256	0	1.7544
METTL21A	0	2.3256	0	1.7544
CCNYL1	1.1628	2.3256	0	1.7544
MIR4775	1.1628	2.3256	0	1.7544
FZD5	1.1628	2.3256	0	1.7544
PLEKHM3	1.1628	2.3256	0	1.7544
CRYGD	1.1628	1.1628	0	1.7544
LOC100507443	1.1628	1.1628	0	1.7544
CRYGC	1.1628	1.1628	0	1.7544
CRYGB	1.1628	1.1628	0	1.7544
CRYGA	1.1628	1.1628	0	1.7544
C2orf80	1.1628	1.1628	0	1.7544
IDH1	1.1628	1.1628	0	1.7544
IDH1-AS1	1.1628	1.1628	0	1.7544
PIKFYVE	1.1628	1.1628	0	1.7544
PTH2R	1.1628	1.1628	0	1.7544
MAP2	0	0	0	1.7544
UNC80	0	0	0	1.7544
RPE	0	0	0	1.7544
KANSL1L	0	0	0	1.7544
AC007038.7	0	0	0	1.7544
ACADL	0	0	0	1.7544
MYL1	0	0	0	1.7544
AC007970.1	0	0	1.7241	1.7544
LANCL1	0	0	1.7241	1.7544
CPS1	0	0	1.7241	1.7544
CPS1-IT1	0	0	1.7241	1.7544
ERBB4	0	0	0	1.7544
MIR548F2	0	0	0	1.7544
MIR4776-1	0	0	0	1.7544
IKZF2	0	0	0	1.7544
AC079610.2	0	0	0	1.7544
SPAG16	0	0	0	3.5088
VWC2L	0	0	0	1.7544
VWC2L-IT1	0	0	0	1.7544
BARD1	0	0	0	1.7544
AC072062.1	0	0	0	1.7544
ABCA12	0	0	0	3.5088
ATIC	0	0	0	1.7544
FN1	0	0	0	1.7544
AC012462.2	0	0	0	1.7544
LINC00607	0	0	0	1.7544
MREG	0	0	0	1.7544
PECR	0	0	0	1.7544
TMEM169	0	0	0	1.7544
XRCC5	0	0	0	1.7544
PKI55	0	0	0	1.7544
43894	0	0	0	1.7544
SMARCAL1	0	0	0	1.7544
RPL37A	0	0	0	1.7544
AC073321.3	0	1.1628	0	1.7544
IGFBP2	0	1.1628	0	1.7544
IGFBP5	0	1.1628	0	1.7544
TNP1	0	0	0	1.7544
DIRC3	0	0	0	1.7544
TNS1	1.1628	0	0	1.7544
MIR6809	1.1628	0	0	1.7544
RUFY4	1.1628	0	0	1.7544
CXCR2P1	1.1628	0	0	1.7544
CXCR2	0	0	0	1.7544
CXCR1	0	0	1.7241	1.7544
ARPC2	0	0	1.7241	1.7544
AAMP	0	0	1.7241	1.7544
GPBAR1	0	0	1.7241	1.7544
PNKD	0	0	1.7241	1.7544
TMBIM1	0	0	1.7241	1.7544
MIR6513	0	0	1.7241	1.7544
MIR6810	0	0	1.7241	1.7544
CATIP	0	0	1.7241	1.7544
CATIP-AS1	0	0	1.7241	1.7544
SLC11A1	0	0	1.7241	1.7544
CTDSP1	0	0	1.7241	1.7544
MIR26B	0	0	1.7241	1.7544
VIL1	0	0	1.7241	1.7544
USP37	0	0	1.7241	1.7544
RQCD1	0	0	1.7241	0
PLCD4	0	0	1.7241	0
ZNF142	0	0	1.7241	0
BCS1L	0	0	1.7241	0
RNF25	0	0	1.7241	0
STK36	0	0	1.7241	0
TTLL4	0	0	1.7241	0
CYP27A1	0	0	0	0
PRKAG3	0	0	0	0
WNT6	0	0	0	0
WNT10A	0	0	0	0
AC073128.10	0	0	0	0
CDK5R2	0	0	0	0
CRYBA2	0	0	0	0
FEV	0	0	0	0
LINC00608	0	0	0	0
AC097468.4	0	0	0	0
CCDC108	0	0	0	0
MIR375	0	0	0	0
IHH	0	0	0	0
MIR3131	0	0	0	0
NHEJ1	0	0	0	0
SLC23A3	0	0	0	0
CNPPD1	0	0	0	0
FAM134A	0	0	0	0
ABCB6	0	0	0	0
ZFAND2B	0	0	0	0
ATG9A	0	0	0	0
ANKZF1	0	0	0	0
GLB1L	0	0	0	0
STK16	0	0	0	0
TUBA4A	0	0	0	0
TUBA4B	0	0	0	0
DNAJB2	0	0	0	0
PTPRN	0	0	0	0
MIR153-1	0	0	0	0
RESP18	0	0	0	0
DNPEP	0	0	0	0
DES	0	0	0	0
SPEG	0	0	0	0
GMPPA	0	0	0	0
LOC100996693	0	0	0	0
ASIC4	0	0	0	0
CHPF	0	0	0	0
TMEM198	0	0	0	0
MIR3132	0	0	0	0
OBSL1	0	0	0	0
INHA	0	0	0	0
STK11IP	0	0	0	0
SLC4A3	0	0	0	0
MIR4268	0	0	0	0
EPHA4	0	0	0	1.7544
PAX3	0	0	0	1.7544
CCDC140	0	0	0	1.7544
SGPP2	0	0	0	1.7544
FARSB	1.1628	0	0	1.7544
MOGAT1	1.1628	0	0	0
ACSL3	0	0	0	0
KCNE4	0	0	0	0
SCG2	0	0	0	0
AP1S3	0	0	0	0
WDFY1	0	0	0	0
MRPL44	0	0	0	0
SERPINE2	1.1628	0	0	0
FAM124B	0	0	0	0
CUL3	-0	-0	-0	-0
DOCK10	0	0	0	0
MIR4439	0	0	0	0
NYAP2	0	0	0	0
MIR548AR|chr2	0	0	0	0
LOC646736	0	0	0	0
MIR5702	0	0	0	0
IRS1	0	0	0	0
RHBDD1	0	0	0	0
COL4A4	0	0	0	0
COL4A3	0	0	0	0
AC097662.2	0	0	0	0
MFF	0	0	0	0
TM4SF20	0	0	0	0
AGFG1	0	0	0	0
MIR5703	0	0	0	0
C2orf83	0	0	0	0
SLC19A3	0	0	0	0
CCL20	0	0	0	0
DAW1	0	0	0	0
SPHKAP	0	0	0	0
PID1	0	1.1628	0	0
DNER	-0	-1.1628	-0	-0
FBXO36	0	1.1628	0	0
TRIP12	0	1.1628	0	0
SLC16A14	0	1.1628	0	0
SP110	0	0	0	0
SP140	0	0	0	0
SP140L	0	0	0	0
SP100	0	0	0	0
AC098823.3	0	0	0	0
CAB39	0	0	0	0
ITM2C	0	0	0	0
AC012507.3	0	0	0	0
GPR55	0	0	0	0
SPATA3-AS1	0	0	0	0
SPATA3	0	0	0	0
C2orf72	0	0	0	0
PSMD1	0	0	0	0
HTR2B	0	0	0	0
ARMC9	0	0	0	0
MIR4777	0	0	0	0
B3GNT7	0	0	0	0
NCL	0	0	0	0
SNORA75	0	0	0	0
SNORD20	0	0	0	0
SNORD82	0	0	0	0
C2orf57	0	0	0	0
LINC00471	0	0	0	0
NMUR1	0	0	0	0
PTMA	0	0	0	0
MIR1244-1|chr2	0	0	0	0
MIR1244-2|chr2	0	0	0	0
hsa-mir-1244-1	0	0	0	0
PDE6D	0	0	0	0
COPS7B	0	0	0	0
MIR1471	0	0	0	0
NPPC	0	0	0	0
DIS3L2	0	0	1.7241	0
hsa-mir-562	0	0	0	0
ALPPL2	0	0	1.7241	0
ALPP	0	0	1.7241	0
ECEL1P2	0	0	1.7241	0
ALPI	0	0	1.7241	0
ECEL1	0	0	1.7241	0
PRSS56	0	0	1.7241	0
CHRND	0	0	1.7241	0
CHRNG	0	0	1.7241	0
TIGD1	0	0	1.7241	0
EIF4E2	0	0	1.7241	0
MIR5001	0	0	1.7241	0
EFHD1	0	0	1.7241	0
GIGYF2	0	0	1.7241	0
KCNJ13	0	0	1.7241	0
C2orf82	0	0	0	0
NGEF	0	0	0	0
NEU2	0	0	0	0
INPP5D	0	0	0	0
ATG16L1	0	0	0	0
SCARNA5	0	0	0	0
SCARNA6	0	0	0	0
SAG	0	0	0	0
DGKD	0	0	0	0
USP40	0	0	0	0
UGT1A10	0	0	0	0
UGT1A8	0	0	0	0
UGT1A9	0	0	0	0
UGT1A7	0	0	0	0
UGT1A6	0	0	0	0
UGT1A5	0	0	0	0
UGT1A4	0	0	0	0
UGT1A3	0	0	0	0
DNAJB3	0	0	0	0
LOC100286922	0	0	0	0
UGT1A1	0	0	0	0
MROH2A	0	0	0	0
HJURP	0	0	0	0
MSL3P1	0	0	0	0
TRPM8	0	0	0	0
SPP2	0	0	0	0
ARL4C	0	0	0	0
SH3BP4	0	0	0	0
AGAP1	0	0	0	0
GBX2	0	0	0	0
ASB18	0	0	0	0
IQCA1	0	0	0	0
ACKR3	0	0	0	0
COPS8	0	0	0	0
COL6A3	0	1.1628	0	0
MLPH	0	1.1628	0	0
MIR6811	0	0	0	0
PRLH	0	0	0	0
RAB17	0	0	0	0
LRRFIP1	0	0	0	0
RBM44	0	0	0	0
RAMP1	0	0	0	0
UBE2F-SCLY	0	0	0	0
UBE2F	0	0	0	0
SCLY	0	0	0	0
ESPNL	0	0	0	0
KLHL30	0	0	0	0
ILKAP	0	0	0	0
LOC151174	0	0	0	0
LOC643387	0	0	0	0
HES6	0	0	0	0
PER2	0	0	0	0
TRAF3IP1	0	0	0	0
ASB1	0	0	0	0
LINC01107	0	0	0	0
FLJ43879	0	0	0	0
HDAC4	0	0	1.7241	0
MIR4440	0	0	0	0
MIR4441	0	0	0	0
TWIST2	0	0	0	0
MGC16025	0	0	1.7241	0
MIR4269	0	0	0	0
MIR2467	0	0	0	0
LOC150935	0	0	0	0
MIR4786	0	0	0	0
NDUFA10	0	0	0	0
OR6B2	0	0	0	0
PRR21	0	0	0	0
OR6B3	0	0	0	0
MYEOV2	0	0	0	0
OTOS	0	0	0	0
GPC1	0	0	0	0
PP14571	0	0	0	0
MIR149	0	0	0	0
ANKMY1	0	0	0	0
DUSP28	0	0	0	0
RNPEPL1	0	0	0	0
CAPN10-AS1	0	0	0	0
CAPN10	0	0	0	0
GPR35	0	0	0	0
AQP12A	0	0	0	0
AQP12B	0	0	0	0
KIF1A	0	0	0	0
AGXT	0	0	0	0
C2orf54	0	0	0	0
LOC200772	0	0	0	0
SNED1	0	1.1628	0	0
MTERFD2	0	1.1628	0	0
PASK	0	1.1628	0	0
PPP1R7	0	1.1628	0	0
ANO7	0	1.1628	0	0
HDLBP	0	1.1628	0	0
44076	0	1.1628	0	0
FARP2	0	1.1628	0	0
hsa-mir-3133	0	1.1628	0	0
STK25	0	1.1628	0	0
AC093642.3	0	1.1628	0	0
ATG4B	0	1.1628	0	0
BOK-AS1	0	1.1628	0	0
BOK	0	1.1628	0	0
D2HGDH	0	1.1628	0	0
DTYMK	0	1.1628	0	0
GAL3ST2	0	1.1628	0	0
ING5	0	1.1628	0	0
LINC01237	0	1.1628	0	0
LOC728323	0	1.1628	0	0
NEU4	0	1.1628	0	0
PDCD1	0	1.1628	0	0
RTP5	0	1.1628	0	0
THAP4	0	1.1628	0	0
AC011609.3	0	1.1628	0	0
AC090044.1	0	1.1628	0	0
AY269186.1	0	1.1628	0	0
CHL1	0	1.1628	0	0
CNTN4-AS2	0	1.1628	0	0
CNTN4	0	1.1628	0	0
CNTN6	-0	-1.1628	-0	-0
IL5RA	0	1.1628	0	0
TRNT1	0	1.1628	0	0
CRBN	0	1.1628	0	0
LRRN1	0	1.1628	0	0
SETMAR	0	1.1628	0	0
SUMF1	0	1.1628	1.7241	0
ITPR1-AS1	0	1.1628	1.7241	0
ITPR1	0	1.1628	1.7241	0
EGOT	0	1.1628	0	0
BHLHE40-AS1	0	1.1628	0	0
BHLHE40	0	1.1628	0	0
ARL8B	0	1.1628	0	0
EDEM1	0	1.1628	0	0
MIR4790	0	1.1628	0	0
AC069277.1	0	1.1628	0	0
GRM7	0	1.1628	0	0
AC087859.1	0	1.1628	0	0
LMCD1-AS1	0	1.1628	0	0
LMCD1	0	1.1628	0	0
LINC00312	0	1.1628	0	0
SSUH2	0	1.1628	0	0
CAV3	0	1.1628	0	0
OXTR	0	1.1628	0	0
RAD18	0	1.1628	0	0
SRGAP3	1.1628	2.3256	0	0
SRGAP3-AS3	0	1.1628	0	0
THUMPD3	0	2.3256	0	0
SETD5	1.1628	2.3256	0	0
THUMPD3-AS1	0	2.3256	0	0
LHFPL4	1.1628	2.3256	0	0
MTMR14	0	2.3256	0	0
CPNE9	0	2.3256	0	0
BRPF1	0	2.3256	0	0
OGG1	0	2.3256	0	0
CAMK1	0	2.3256	0	0
TADA3	0	2.3256	0	0
ARPC4-TTLL3	0	2.3256	0	0
ARPC4	0	2.3256	0	0
TTLL3	0	2.3256	0	0
RPUSD3	0	2.3256	0	0
CIDEC	0	2.3256	0	0
JAGN1	0	2.3256	0	0
IL17RE	0	2.3256	0	0
IL17RC	0	2.3256	0	0
CRELD1	0	2.3256	0	0
PRRT3-AS1	0	2.3256	0	0
PRRT3	0	2.3256	0	0
EMC3	0	2.3256	0	0
EMC3-AS1	0	2.3256	0	0
AC022007.5	0	2.3256	0	0
CIDECP	0	2.3256	0	0
FANCD2	0	2.3256	0	0
FANCD2OS	0	2.3256	0	0
BRK1	0	2.3256	0	0
VHL	0	2.3256	0	0
IRAK2	0	2.3256	0	0
TATDN2	0	2.3256	0	0
GHRLOS	0	2.3256	0	0
LINC00852	0	2.3256	0	0
GHRL	0	2.3256	0	0
SEC13	0	2.3256	0	0
ATP2B2	0	2.3256	0	0
hsa-mir-378b	0	2.3256	0	0
MIR885	0	2.3256	0	0
LINC00606	0	2.3256	0	0
SLC6A11	0	2.3256	0	0
SLC6A1	0	2.3256	0	0
SLC6A1-AS1	0	2.3256	0	0
HRH1	0	2.3256	0	0
ATG7	0	1.1628	0	0
VGLL4	0	1.1628	0	1.7544
TAMM41	0	1.1628	0	0
SYN2	0	2.3256	0	3.5088
TIMP4	0	2.3256	0	3.5088
PPARG	0	1.1628	0	3.5088
TSEN2	0	1.1628	0	1.7544
C3orf83	0	1.1628	0	1.7544
MKRN2	0	1.1628	0	1.7544
RAF1	1.1628	1.1628	0	1.7544
TMEM40	1.1628	1.1628	0	1.7544
CAND2	0	1.1628	0	0
RPL32	0	1.1628	0	0
SNORA7A	0	1.1628	0	0
IQSEC1	0	1.1628	0	0
NUP210	0	1.1628	0	0
HDAC11	0	1.1628	0	0
FBLN2	0	1.1628	0	0
LINC00620	0	1.1628	0	0
WNT7A	0	1.1628	0	0
FGD5P1	0	1.1628	0	0
TPRXL	0	1.1628	0	0
CHCHD4	0	1.1628	0	0
TMEM43	0	1.1628	0	0
XPC	0	1.1628	0	0
LSM3	0	1.1628	0	0
RP11-536I6.1	0	1.1628	0	0
SLC6A6	0	1.1628	0	0
GRIP2	0	1.1628	0	0
CCDC174	0	1.1628	0	0
C3orf20	0	1.1628	0	0
FGD5	0	1.1628	1.7241	0
FGD5-AS1	0	0	1.7241	0
NR2C2	0	0	1.7241	0
MRPS25	0	0	0	0
ZFYVE20	1.1628	0	0	0
COL6A4P1	0	0	0	0
CAPN7	0	0	0	0
SH3BP5-AS1	0	0	0	0
SH3BP5	0	1.1628	0	0
METTL6	0	1.1628	0	0
EAF1	0	1.1628	0	0
COLQ	0	0	0	0
MIR4270	0	0	0	0
HACL1	0	0	0	0
BTD	0	0	0	0
ANKRD28	0	0	0	0
hsa-mir-3134	0	0	0	0
MIR563	0	0	0	0
GALNT15	0	0	0	0
DPH3	0	0	0	0
OXNAD1	0	0	0	0
RFTN1	0	0	0	0
LINC00690	0	0	0	0
DAZL	0	0	0	0
PLCL2	0	0	0	0
MIR3714	0	0	0	0
TBC1D5	0	0	0	0
LOC339862	0	0	0	0
SATB1	0	0	0	0
KCNH8	0	1.1628	1.7241	0
MIR4791	0	1.1628	1.7241	0
EFHB	1.1628	1.1628	1.7241	0
RAB5A	1.1628	1.1628	1.7241	0
PP2D1	1.1628	1.1628	1.7241	0
KAT2B	-1.1628	-1.1628	-1.7241	-0
hsa-mir-3135	0	1.1628	1.7241	0
SGOL1	0	1.1628	1.7241	0
SGOL1-AS1	0	1.1628	1.7241	0
AC107622.1	0	1.1628	1.7241	0
VENTXP7	0	1.1628	1.7241	0
ZNF385D	0	1.1628	1.7241	0
UBE2E2	0	0	0	0
MIR548AC	0	0	0	0
UBE2E1	0	0	0	0
NKIRAS1	0	0	0	0
RPL15	0	0	0	0
NR1D2	0	0	0	0
LINC00691	0	0	0	0
THRB	0	0	0	0
THRB-AS1	0	0	0	0
MIR4792	0	0	0	0
RARB	0	0	0	0
TOP2B	0	0	0	0
MIR4442	0	0	0	0
NGLY1	0	0	0	0
OXSM	0	0	0	0
LINC00692	0	0	0	0
LRRC3B	0	0	0	0
NEK10	0	0	0	0
SLC4A7	0	0	0	0
EOMES	0	0	0	0
CMC1	1.1628	0	0	0
AZI2	1.1628	0	0	0
ZCWPW2	1.1628	0	0	0
LINC00693	1.1628	0	0	0
RBMS3-AS3	1.1628	0	0	0
RBMS3	1.1628	0	0	0
TGFBR2	-1.1628	-1.1628	-0	-0
GADL1	1.1628	1.1628	0	0
hsa-mir-466	1.1628	1.1628	0	0
STT3B	0	1.1628	1.7241	0
OSBPL10	0	1.1628	1.7241	0
OSBPL10-AS1	0	1.1628	1.7241	0
ZNF860	0	1.1628	1.7241	0
GPD1L	0	1.1628	1.7241	1.7544
CMTM8	0	1.1628	1.7241	0
CMTM7	0	1.1628	1.7241	0
CMTM6	0	1.1628	1.7241	0
DYNC1LI1	0	1.1628	1.7241	0
CNOT10	0	1.1628	1.7241	0
TRIM71	0	1.1628	0	0
CCR4	0	1.1628	0	0
GLB1	0	1.1628	1.7241	0
TMPPE	0	1.1628	1.7241	0
CRTAP	0	1.1628	1.7241	0
SUSD5	0	1.1628	1.7241	0
FBXL2	0	2.3256	1.7241	0
UBP1	0	2.3256	1.7241	0
CLASP2	0	2.3256	1.7241	0
PDCD6IP	1.1628	1.1628	3.4483	0
LOC101928135	0	1.1628	1.7241	0
ARPP21	0	1.1628	1.7241	0
MIR128-2	0	1.1628	1.7241	0
STAC	0	1.1628	1.7241	0
DCLK3	0	1.1628	1.7241	0
TRANK1	0	1.1628	1.7241	0
EPM2AIP1	0	1.1628	1.7241	0
MLH1	0	1.1628	1.7241	0
LRRFIP2	0	1.1628	1.7241	0
GOLGA4	0	1.1628	1.7241	0
C3orf35	0	1.1628	1.7241	0
ITGA9	0	1.1628	1.7241	0
ITGA9-AS1	0	1.1628	1.7241	0
CTDSPL	0	1.1628	3.4483	0
MIR26A1	0	1.1628	3.4483	0
VILL	0	1.1628	3.4483	0
PLCD1	0	1.1628	3.4483	0
DLEC1	0	1.1628	3.4483	0
ACAA1	0	1.1628	3.4483	0
MYD88	0	1.1628	3.4483	0
OXSR1	0	1.1628	3.4483	0
SLC22A13	0	1.1628	3.4483	0
SLC22A14	0	1.1628	3.4483	0
XYLB	0	1.1628	3.4483	0
ACVR2B-AS1	0	1.1628	1.7241	0
ACVR2B	0	1.1628	1.7241	0
EXOG	0	1.1628	1.7241	0
SCN5A	0	1.1628	1.7241	0
SCN10A	0	1.1628	1.7241	0
SCN11A	0	1.1628	1.7241	0
WDR48	0	1.1628	1.7241	0
GORASP1	0	1.1628	1.7241	0
TTC21A	0	1.1628	1.7241	0
MIR6822	0	1.1628	1.7241	0
CSRNP1	0	1.1628	1.7241	0
XIRP1	0	1.1628	1.7241	0
CX3CR1	0	1.1628	1.7241	0
CCR8	0	1.1628	1.7241	0
SLC25A38	0	1.1628	1.7241	0
RPSA	0	1.1628	1.7241	0
SNORA62	0	1.1628	1.7241	0
SNORA6	0	1.1628	1.7241	0
MOBP	0	1.1628	1.7241	0
MYRIP	0	1.1628	1.7241	0
EIF1B-AS1	0	1.1628	1.7241	0
EIF1B	0	1.1628	1.7241	0
ENTPD3	0	1.1628	1.7241	0
ENTPD3-AS1	0	1.1628	1.7241	0
RPL14	0	0	1.7241	0
ZNF619	0	0	1.7241	0
ZNF620	0	0	1.7241	0
ZNF621	0	0	1.7241	0
CTNNB1	1.1628	1.1628	1.7241	0
ULK4	1.1628	1.1628	1.7241	0
TRAK1	0	0	0	0
CCK	0	0	0	0
LYZL4	0	0	0	0
VIPR1	0	0	0	0
SEC22C	0	0	0	0
SS18L2	0	0	0	0
NKTR	0	0	0	0
ZBTB47	0	0	0	0
KLHL40	0	0	0	0
HHATL	0	0	0	0
CCDC13	0	0	0	0
CCDC13-AS1	0	0	0	0
HIGD1A	0	0	0	0
ACKR2	0	0	0	0
CYP8B1	0	0	0	0
ZNF662	0	0	0	0
KRBOX1	0	0	0	0
FAM198A	0	0	0	0
POMGNT2	0	0	0	0
SNRK	0	0	0	0
SNRK-AS1	0	0	0	0
ANO10	0	0	0	0
ABHD5	0	0	0	0
MIR138-1	0	0	0	0
TOPAZ1	0	0	0	0
TCAIM	0	0	0	0
ZNF445	0	0	0	0
ZNF852	0	0	0	0
ZKSCAN7	0	0	0	0
ZNF660	0	0	0	0
ZNF197	0	0	0	0
ZNF35	0	0	0	0
ZNF502	0	0	0	0
ZNF501	0	0	0	0
KIAA1143	0	0	0	0
KIF15	0	0	0	0
MIR564	0	0	0	0
TMEM42	0	0	0	0
TGM4	0	0	0	0
ZDHHC3	0	0	0	0
EXOSC7	0	0	0	0
CLEC3B	0	0	0	0
CDCP1	0	0	0	0
TMEM158	0	0	0	0
LARS2	0	0	0	0
LARS2-AS1	0	0	0	0
LIMD1	0	0	0	0
LIMD1-AS1	0	0	0	0
SACM1L	0	0	0	0
SLC6A20	0	0	0	0
LZTFL1	0	1.1628	0	0
CCR9	0	1.1628	0	0
FYCO1	0	1.1628	0	0
CXCR6	0	1.1628	0	0
XCR1	0	1.1628	0	0
CCR1	0	1.1628	0	0
CCR3	0	1.1628	0	0
CCR2	0	1.1628	0	0
CCR5	0	1.1628	0	0
CCRL2	0	1.1628	1.7241	0
LTF	0	1.1628	1.7241	0
RTP3	0	1.1628	1.7241	0
LRRC2	0	1.1628	1.7241	0
LRRC2-AS1	0	1.1628	1.7241	0
TDGF1	0	1.1628	1.7241	0
LOC100132146	0	1.1628	0	0
ALS2CL	0	1.1628	0	0
TMIE	0	1.1628	0	0
PRSS50	0	1.1628	0	0
PRSS46	0	1.1628	0	0
PRSS42	0	0	0	0
PRSS45	0	0	0	0
MYL3	0	0	0	0
PTH1R	0	0	0	0
CCDC12	0	0	0	0
NBEAL2	0	0	0	0
NRADDP	0	0	0	0
SETD2	0	0	0	0
KIF9-AS1	0	0	0	0
KIF9	0	0	0	0
KLHL18	0	0	0	0
PTPN23	0	0	0	0
SCAP	0	0	0	0
ELP6	0	0	1.7241	0
CSPG5	0	0	0	0
SMARCC1	0	0	0	0
DHX30	0	0	0	0
MAP4	0	0	0	0
MIR1226	0	0	0	0
CDC25A	0	0	0	1.7544
MIR4443	0	0	0	1.7544
CAMP	0	0	0	1.7544
ZNF589	0	0	0	0
NME6	0	0	0	0
SPINK8	0	0	0	0
hsa-mir-2115	0	0	0	0
FBXW12	0	0	0	0
PLXNB1	0	0	0	0
CCDC51	0	0	0	0
TMA7	0	0	0	0
ATRIP	0	0	0	0
SHISA5	0	0	1.7241	0
TREX1	0	0	0	0
PFKFB4	0	0	1.7241	0
MIR6823	0	0	1.7241	0
UCN2	0	0	1.7241	0
COL7A1	0	0	1.7241	0
MIR711	0	0	1.7241	0
UQCRC1	0	0	1.7241	0
TMEM89	0	0	1.7241	0
SLC26A6	0	0	1.7241	0
CELSR3	0	0	1.7241	0
MIR6824	0	0	1.7241	0
MIR4793	0	0	1.7241	0
NCKIPSD	0	0	1.7241	0
IP6K2	0	0	1.7241	0
PRKAR2A	0	1.1628	0	0
PRKAR2A-AS1	0	1.1628	0	0
SLC25A20	0	1.1628	0	0
ARIH2OS	0	1.1628	0	0
ARIH2	0	1.1628	0	0
P4HTM	0	0	0	0
WDR6	0	0	0	0
DALRD3	0	0	0	0
MIR191	0	0	0	0
MIR425	0	0	0	0
NDUFAF3	0	0	0	0
IMPDH2	0	0	0	0
QRICH1	0	0	0	0
QARS	0	0	0	0
MIR6890	0	0	0	0
USP19	0	0	0	0
LAMB2	0	0	0	0
LAMB2P1	0	0	0	0
CCDC71	0	0	0	0
KLHDC8B	0	0	0	0
C3orf84	0	0	0	0
CCDC36	0	0	0	0
C3orf62	0	0	0	0
MIR4271	0	0	0	0
