gene	I_gain	II_gain	III_gain	IV_gain	I_gain_ratio	II_gain_ratio	III_gain_ratio	IV_gain_ratio
KDM5B	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
PCAT6	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
LOC641515	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
RP11-480I12.7	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
RABIF	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
KLHL12	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
ADIPOR1	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
CYB5R1	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
LOC100506747	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
TMEM183A	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
TMEM183B	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
PPFIA4	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
MYOG	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
ADORA1	0	3	1	1	0.0000 	3.4884 	1.7241 	1.7544 
MYBPH	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
CHI3L1	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
CHIT1	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
LINC01136	0	4	1	1	0.0000 	4.6512 	1.7241 	1.7544 
BTG2	0	4	1	1	0.0000 	4.6512 	1.7241 	1.7544 
FMOD	0	4	1	1	0.0000 	4.6512 	1.7241 	1.7544 
PRELP	0	4	0	1	0.0000 	4.6512 	0.0000 	1.7544 
OPTC	0	4	0	1	0.0000 	4.6512 	0.0000 	1.7544 
ATP2B4	1	4	0	1	1.1628 	4.6512 	0.0000 	1.7544 
LINC00260	1	3	0	1	1.1628 	3.4884 	0.0000 	1.7544 
SNORA77	1	3	0	1	1.1628 	3.4884 	0.0000 	1.7544 
LAX1	1	3	0	1	1.1628 	3.4884 	0.0000 	1.7544 
ZBED6	1	3	0	1	1.1628 	3.4884 	0.0000 	1.7544 
ZC3H11A	1	3	0	1	1.1628 	3.4884 	0.0000 	1.7544 
SNRPE	1	3	0	1	1.1628 	3.4884 	0.0000 	1.7544 
LINC00303	1	3	0	1	1.1628 	3.4884 	0.0000 	1.7544 
SOX13	1	3	0	1	1.1628 	3.4884 	0.0000 	1.7544 
ETNK2	1	3	0	1	1.1628 	3.4884 	0.0000 	1.7544 
REN	1	3	0	1	1.1628 	3.4884 	0.0000 	1.7544 
KISS1	1	3	0	1	1.1628 	3.4884 	0.0000 	1.7544 
GOLT1A	1	3	0	1	1.1628 	3.4884 	0.0000 	1.7544 
PLEKHA6	1	3	0	1	1.1628 	3.4884 	0.0000 	1.7544 
LINC00628	1	3	0	1	1.1628 	3.4884 	0.0000 	1.7544 
PPP1R15B	1	3	0	1	1.1628 	3.4884 	0.0000 	1.7544 
PIK3C2B	1	3	0	1	1.1628 	3.4884 	0.0000 	1.7544 
MDM4	1	4	0	1	1.1628 	4.6512 	0.0000 	1.7544 
LRRN2	1	3	0	1	1.1628 	3.4884 	0.0000 	1.7544 
NFASC	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
CNTN2	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
TMEM81	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
RBBP5	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
DSTYK	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
TMCC2	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
NUAK2	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
KLHDC8A	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
LEMD1-AS1	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
LEMD1	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
BLACAT1	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
MIR135B	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
CDK18	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
LOC284578	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
MFSD4	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
ELK4	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
SLC45A3	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
NUCKS1	0	4	0	1	0.0000 	4.6512 	0.0000 	1.7544 
RAB7L1	0	4	0	1	0.0000 	4.6512 	0.0000 	1.7544 
SLC41A1	0	4	0	1	0.0000 	4.6512 	0.0000 	1.7544 
PM20D1	0	4	1	1	0.0000 	4.6512 	1.7241 	1.7544 
LOC284581	0	4	0	1	0.0000 	4.6512 	0.0000 	1.7544 
SLC26A9	0	4	0	1	0.0000 	4.6512 	0.0000 	1.7544 
FAM72A	0	4	0	1	0.0000 	4.6512 	0.0000 	1.7544 
AVPR1B	0	4	0	1	0.0000 	4.6512 	0.0000 	1.7544 
C1orf186	0	4	0	1	0.0000 	4.6512 	0.0000 	1.7544 
CTSE	0	4	0	1	0.0000 	4.6512 	0.0000 	1.7544 
SRGAP2B	0	4	0	2	0.0000 	4.6512 	0.0000 	3.5088 
SRGAP2C	0	4	0	2	0.0000 	4.6512 	0.0000 	3.5088 
SRGAP2	0	4	0	2	0.0000 	4.6512 	0.0000 	3.5088 
IKBKE	0	4	0	2	0.0000 	4.6512 	0.0000 	3.5088 
MIR6769B	0	4	0	2	0.0000 	4.6512 	0.0000 	3.5088 
RASSF5	0	4	0	2	0.0000 	4.6512 	0.0000 	3.5088 
EIF2D	0	4	0	2	0.0000 	4.6512 	0.0000 	3.5088 
DYRK3	0	4	0	2	0.0000 	4.6512 	0.0000 	3.5088 
MAPKAPK2	1	5	0	2	1.1628 	5.8140 	0.0000 	3.5088 
IL10	1	5	0	1	1.1628 	5.8140 	0.0000 	1.7544 
IL19	2	5	0	1	2.3256 	5.8140 	0.0000 	1.7544 
IL20	2	5	0	1	2.3256 	5.8140 	0.0000 	1.7544 
IL24	2	5	0	1	2.3256 	5.8140 	0.0000 	1.7544 
FAIM3	2	5	0	1	2.3256 	5.8140 	0.0000 	1.7544 
PIGR	2	5	0	1	2.3256 	5.8140 	0.0000 	1.7544 
FCAMR	2	4	0	1	2.3256 	4.6512 	0.0000 	1.7544 
C1orf116	2	4	0	1	2.3256 	4.6512 	0.0000 	1.7544 
YOD1	2	4	0	1	2.3256 	4.6512 	0.0000 	1.7544 
PFKFB2	2	4	0	1	2.3256 	4.6512 	0.0000 	1.7544 
C4BPB	2	4	0	1	2.3256 	4.6512 	0.0000 	1.7544 
C4BPA	2	4	0	1	2.3256 	4.6512 	0.0000 	1.7544 
CD55	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
CR2	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
CR1	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
CR1L	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
CD46	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
MIR29B2	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
MIR29C	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
LOC148696	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
CD34	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
PLXNA2	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
MIR205HG	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
MIR205	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
CAMK1G	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
LAMB3	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
MIR4260	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
G0S2	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
HSD11B1	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
TRAF3IP3	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
C1orf74	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
IRF6	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
DIEXF	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
SYT14	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
SERTAD4-AS1	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
SERTAD4	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
HHAT	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
KCNH1	0	4	0	1	0.0000 	4.6512 	0.0000 	1.7544 
RCOR3	0	4	0	1	0.0000 	4.6512 	0.0000 	1.7544 
TRAF5	0	4	1	1	0.0000 	4.6512 	1.7241 	1.7544 
LINC00467	0	4	1	1	0.0000 	4.6512 	1.7241 	1.7544 
RD3	0	4	0	1	0.0000 	4.6512 	0.0000 	1.7544 
SLC30A1	0	4	0	1	0.0000 	4.6512 	0.0000 	1.7544 
NEK2	0	4	0	1	0.0000 	4.6512 	0.0000 	1.7544 
LPGAT1	0	4	0	1	0.0000 	4.6512 	0.0000 	1.7544 
INTS7	0	4	0	1	0.0000 	4.6512 	0.0000 	1.7544 
DTL	0	4	0	1	0.0000 	4.6512 	0.0000 	1.7544 
MIR3122	0	4	0	1	0.0000 	4.6512 	0.0000 	1.7544 
PPP2R5A	0	4	0	1	0.0000 	4.6512 	0.0000 	1.7544 
SNORA16B	0	4	0	1	0.0000 	4.6512 	0.0000 	1.7544 
TMEM206	0	4	1	1	0.0000 	4.6512 	1.7241 	1.7544 
NENF	0	4	1	1	0.0000 	4.6512 	1.7241 	1.7544 
ATF3	0	4	0	1	0.0000 	4.6512 	0.0000 	1.7544 
FAM71A	0	4	0	1	0.0000 	4.6512 	0.0000 	1.7544 
BATF3	0	4	0	1	0.0000 	4.6512 	0.0000 	1.7544 
NSL1	0	4	1	1	0.0000 	4.6512 	1.7241 	1.7544 
TATDN3	0	4	1	1	0.0000 	4.6512 	1.7241 	1.7544 
SPATA45	0	4	1	1	0.0000 	4.6512 	1.7241 	1.7544 
FLVCR1-AS1	0	4	1	1	0.0000 	4.6512 	1.7241 	1.7544 
FLVCR1	0	4	1	1	0.0000 	4.6512 	1.7241 	1.7544 
VASH2	0	4	1	1	0.0000 	4.6512 	1.7241 	1.7544 
ANGEL2	0	4	1	1	0.0000 	4.6512 	1.7241 	1.7544 
RPS6KC1	0	4	1	1	0.0000 	4.6512 	1.7241 	1.7544 
LINC00538	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
PROX1	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
SMYD2	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
PTPN14	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
CENPF	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
KCNK2	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
KCTD3	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
USH2A	0	4	0	1	0.0000 	4.6512 	0.0000 	1.7544 
ESRRG	0	4	0	2	0.0000 	4.6512 	0.0000 	3.5088 
GPATCH2	0	4	0	1	0.0000 	4.6512 	0.0000 	1.7544 
SPATA17	0	4	0	1	0.0000 	4.6512 	0.0000 	1.7544 
LINC00210	0	4	0	1	0.0000 	4.6512 	0.0000 	1.7544 
RP11-152L7.2	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
RRP15	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
RP11-224O19.2	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
TGFB2	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
RP11-135J2.4	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
LYPLAL1	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
RNU5F-1	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
SLC30A10	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
EPRS	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
BPNT1	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
IARS2	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
MIR194-1	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
MIR215	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
RAB3GAP2	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
MIR664	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
SNORA36B	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
hsa-mir-664	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
AURKAPS1	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
MARK1	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
C1orf115	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
2-Mar	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
1-Mar	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
HLX-AS1	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
RP11-295M18.2	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
HLX	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
C1orf140	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
DUSP10	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
HHIPL2	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
TAF1A	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
RP11-378J18.3	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
MIA3	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
AIDA	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
BROX	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
FAM177B	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
DISP1	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
TLR5	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
SUSD4	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
C1orf65	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
CAPN8	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
CAPN2	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
TP53BP2	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
FBXO28	0	3	1	1	0.0000 	3.4884 	1.7241 	1.7544 
DEGS1	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
LOC101927143	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
RP11-365O16.6	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
NVL	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
MIR320B2	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
CNIH4	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
WDR26	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
MIR4742	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
CNIH3	0	4	0	1	0.0000 	4.6512 	0.0000 	1.7544 
DNAH14	1	4	0	2	1.1628 	4.6512 	0.0000 	3.5088 
LBR	1	4	0	1	1.1628 	4.6512 	0.0000 	1.7544 
ENAH	1	4	0	1	1.1628 	4.6512 	0.0000 	1.7544 
SRP9	0	4	0	1	0.0000 	4.6512 	0.0000 	1.7544 
EPHX1	0	4	0	2	0.0000 	4.6512 	0.0000 	3.5088 
TMEM63A	0	4	0	2	0.0000 	4.6512 	0.0000 	3.5088 
LEFTY1	0	4	0	2	0.0000 	4.6512 	0.0000 	3.5088 
MIR6741	0	4	0	2	0.0000 	4.6512 	0.0000 	3.5088 
PYCR2	0	4	0	2	0.0000 	4.6512 	0.0000 	3.5088 
LEFTY2	0	4	0	2	0.0000 	4.6512 	0.0000 	3.5088 
SDE2	0	4	0	2	0.0000 	4.6512 	0.0000 	3.5088 
H3F3AP4	0	4	0	2	0.0000 	4.6512 	0.0000 	3.5088 
H3F3A	0	4	0	2	0.0000 	4.6512 	0.0000 	3.5088 
ACBD3	0	4	1	2	0.0000 	4.6512 	1.7241 	3.5088 
MIXL1	0	4	1	1	0.0000 	4.6512 	1.7241 	1.7544 
LIN9	0	4	1	1	0.0000 	4.6512 	1.7241 	1.7544 
PARP1	0	3	1	1	0.0000 	3.4884 	1.7241 	1.7544 
C1orf95	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
ITPKB	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
ITPKB-IT1	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
PSEN2	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
ADCK3	0	3	0	1	0.0000 	3.4884 	0.0000 	1.7544 
CDC42BPA	0	3	0	2	0.0000 	3.4884 	0.0000 	3.5088 
ZNF678	0	3	0	2	0.0000 	3.4884 	0.0000 	3.5088 
ZNF847P	0	3	0	2	0.0000 	3.4884 	0.0000 	3.5088 
JMJD4	0	3	0	2	0.0000 	3.4884 	0.0000 	3.5088 
LOC100130093	0	3	0	2	0.0000 	3.4884 	0.0000 	3.5088 
SNAP47	0	3	0	2	0.0000 	3.4884 	0.0000 	3.5088 
PRSS38	0	3	0	2	0.0000 	3.4884 	0.0000 	3.5088 
WNT9A	0	3	0	2	0.0000 	3.4884 	0.0000 	3.5088 
MIR5008	0	3	0	2	0.0000 	3.4884 	0.0000 	3.5088 
WNT3A	0	3	0	2	0.0000 	3.4884 	0.0000 	3.5088 
ARF1	0	3	0	2	0.0000 	3.4884 	0.0000 	3.5088 
MIR3620	0	3	0	2	0.0000 	3.4884 	0.0000 	3.5088 
C1orf35	0	3	0	2	0.0000 	3.4884 	0.0000 	3.5088 
MRPL55	0	3	0	2	0.0000 	3.4884 	0.0000 	3.5088 
GJC2	0	3	0	2	0.0000 	3.4884 	0.0000 	3.5088 
GUK1	0	3	0	2	0.0000 	3.4884 	0.0000 	3.5088 
IBA57-AS1	0	3	0	2	0.0000 	3.4884 	0.0000 	3.5088 
IBA57	0	3	0	2	0.0000 	3.4884 	0.0000 	3.5088 
C1orf145	0	3	0	2	0.0000 	3.4884 	0.0000 	3.5088 
OBSCN	0	3	0	2	0.0000 	3.4884 	0.0000 	3.5088 
BTNL10	0	3	0	2	0.0000 	3.4884 	0.0000 	3.5088 
DUSP5P1	0	3	0	2	0.0000 	3.4884 	0.0000 	3.5088 
HIST3H2A	0	3	0	2	0.0000 	3.4884 	0.0000 	3.5088 
HIST3H2BB	0	3	0	2	0.0000 	3.4884 	0.0000 	3.5088 
HIST3H3	0	3	0	2	0.0000 	3.4884 	0.0000 	3.5088 
MIR4666A	0	3	0	2	0.0000 	3.4884 	0.0000 	3.5088 
MIR6742	0	3	0	2	0.0000 	3.4884 	0.0000 	3.5088 
RHOU	0	3	0	2	0.0000 	3.4884 	0.0000 	3.5088 
RNF187	0	3	0	2	0.0000 	3.4884 	0.0000 	3.5088 
TRIM11	0	3	0	2	0.0000 	3.4884 	0.0000 	3.5088 
TRIM17	0	3	0	2	0.0000 	3.4884 	0.0000 	3.5088 
RAB4A	0	3	1	2	0.0000 	3.4884 	1.7241 	3.5088 
SPHAR	0	3	0	2	0.0000 	3.4884 	0.0000 	3.5088 
CCSAP	0	3	0	2	0.0000 	3.4884 	0.0000 	3.5088 
ACTA1	0	3	0	2	0.0000 	3.4884 	0.0000 	3.5088 
NUP133	0	3	0	2	0.0000 	3.4884 	0.0000 	3.5088 
RP4-613A2.1	0	3	0	2	0.0000 	3.4884 	0.0000 	3.5088 
ABCB10	0	3	0	2	0.0000 	3.4884 	0.0000 	3.5088 
TAF5L	0	3	0	2	0.0000 	3.4884 	0.0000 	3.5088 
URB2	0	3	0	2	0.0000 	3.4884 	0.0000 	3.5088 
GALNT2	0	3	0	2	0.0000 	3.4884 	0.0000 	3.5088 
PGBD5	0	3	0	2	0.0000 	3.4884 	0.0000 	3.5088 
COG2	0	3	0	2	0.0000 	3.4884 	0.0000 	3.5088 
AGT	0	3	0	2	0.0000 	3.4884 	0.0000 	3.5088 
CAPN9	0	3	0	2	0.0000 	3.4884 	0.0000 	3.5088 
C1orf198	0	3	0	2	0.0000 	3.4884 	0.0000 	3.5088 
RP5-858B6.3	0	3	0	2	0.0000 	3.4884 	0.0000 	3.5088 
TTC13	0	3	0	2	0.0000 	3.4884 	0.0000 	3.5088 
ARV1	0	3	0	2	0.0000 	3.4884 	0.0000 	3.5088 
FAM89A	0	3	0	2	0.0000 	3.4884 	0.0000 	3.5088 
MIR1182	0	3	0	2	0.0000 	3.4884 	0.0000 	3.5088 
TRIM67	0	3	0	2	0.0000 	3.4884 	0.0000 	3.5088 
RP5-1097F14.3	0	3	0	2	0.0000 	3.4884 	0.0000 	3.5088 
C1orf131	0	3	0	2	0.0000 	3.4884 	0.0000 	3.5088 
GNPAT	0	3	0	2	0.0000 	3.4884 	0.0000 	3.5088 
EXOC8	0	3	0	2	0.0000 	3.4884 	0.0000 	3.5088 
SPRTN	0	3	0	2	0.0000 	3.4884 	0.0000 	3.5088 
EGLN1	0	3	0	2	0.0000 	3.4884 	0.0000 	3.5088 
SNRPD2P2	0	3	0	2	0.0000 	3.4884 	0.0000 	3.5088 
TSNAX-DISC1	0	3	0	2	0.0000 	3.4884 	0.0000 	3.5088 
TSNAX	0	3	0	2	0.0000 	3.4884 	0.0000 	3.5088 
DISC1	0	3	0	2	0.0000 	3.4884 	0.0000 	3.5088 
LINC00582	0	3	0	2	0.0000 	3.4884 	0.0000 	3.5088 
DISC2	0	3	0	2	0.0000 	3.4884 	0.0000 	3.5088 
SIPA1L2	0	4	0	2	0.0000 	4.6512 	0.0000 	3.5088 
RP11-66A2.2	0	3	1	2	0.0000 	3.4884 	1.7241 	3.5088 
MAP10	0	3	0	2	0.0000 	3.4884 	0.0000 	3.5088 
NTPCR	0	3	0	2	0.0000 	3.4884 	0.0000 	3.5088 
PCNXL2	0	4	0	2	0.0000 	4.6512 	0.0000 	3.5088 
KIAA1804	0	4	0	2	0.0000 	4.6512 	0.0000 	3.5088 
KCNK1	0	4	0	2	0.0000 	4.6512 	0.0000 	3.5088 
MIR4427	0	4	0	2	0.0000 	4.6512 	0.0000 	3.5088 
SLC35F3	0	4	0	2	0.0000 	4.6512 	0.0000 	3.5088 
MIR4671	0	4	0	2	0.0000 	4.6512 	0.0000 	3.5088 
COA6	0	4	0	2	0.0000 	4.6512 	0.0000 	3.5088 
TARBP1	0	6	0	3	0.0000 	6.9767 	0.0000 	5.2632 
RP5-855F14.1	0	7	0	3	0.0000 	8.1395 	0.0000 	5.2632 
IRF2BP2	1	7	2	5	1.1628 	8.1395 	3.4483 	8.7719 
LINC00184	1	7	2	5	1.1628 	8.1395 	3.4483 	8.7719 
LINC01132	1	8	1	6	1.1628 	9.3023 	1.7241 	10.5263 
TOMM20	0	5	1	4	0.0000 	5.8140 	1.7241 	7.0175 
RBM34	0	5	1	4	0.0000 	5.8140 	1.7241 	7.0175 
SNORA14B	0	5	1	4	0.0000 	5.8140 	1.7241 	7.0175 
ARID4B	0	5	1	4	0.0000 	5.8140 	1.7241 	7.0175 
MIR4753	0	4	0	4	0.0000 	4.6512 	0.0000 	7.0175 
GGPS1	0	4	0	3	0.0000 	4.6512 	0.0000 	5.2632 
TBCE	0	4	0	3	0.0000 	4.6512 	0.0000 	5.2632 
B3GALNT2	0	4	0	3	0.0000 	4.6512 	0.0000 	5.2632 
GNG4	0	4	0	3	0.0000 	4.6512 	0.0000 	5.2632 
LYST	1	4	1	3	1.1628 	4.6512 	1.7241 	5.2632 
MIR1537	1	4	1	2	1.1628 	4.6512 	1.7241 	3.5088 
NID1	1	4	1	2	1.1628 	4.6512 	1.7241 	3.5088 
GPR137B	1	4	1	2	1.1628 	4.6512 	1.7241 	3.5088 
ERO1LB	1	4	1	2	1.1628 	4.6512 	1.7241 	3.5088 
EDARADD	1	4	0	2	1.1628 	4.6512 	0.0000 	3.5088 
LGALS8	1	3	0	2	1.1628 	3.4884 	0.0000 	3.5088 
LGALS8-AS1	1	3	0	2	1.1628 	3.4884 	0.0000 	3.5088 
HEATR1	1	3	0	2	1.1628 	3.4884 	0.0000 	3.5088 
ACTN2	1	3	0	2	1.1628 	3.4884 	0.0000 	3.5088 
MTR	1	3	0	2	1.1628 	3.4884 	0.0000 	3.5088 
MT1HL1	1	3	0	2	1.1628 	3.4884 	0.0000 	3.5088 
RYR2	1	3	0	2	1.1628 	3.4884 	0.0000 	3.5088 
RP11-193H5.1	1	3	0	2	1.1628 	3.4884 	0.0000 	3.5088 
ZP4	1	3	0	2	1.1628 	3.4884 	0.0000 	3.5088 
LINC01139	2	3	0	2	2.3256 	3.4884 	0.0000 	3.5088 
CHRM3	0	3	0	2	0.0000 	3.4884 	0.0000 	3.5088 
CHRM3-AS2	0	3	0	2	0.0000 	3.4884 	0.0000 	3.5088 
CHRM3-AS1	0	3	0	2	0.0000 	3.4884 	0.0000 	3.5088 
RPS7P5	0	3	0	2	0.0000 	3.4884 	0.0000 	3.5088 
FMN2	0	3	0	2	0.0000 	3.4884 	0.0000 	3.5088 
GREM2	0	3	0	2	0.0000 	3.4884 	0.0000 	3.5088 
RGS7	1	3	0	2	1.1628 	3.4884 	0.0000 	3.5088 
MIR3123	1	3	0	2	1.1628 	3.4884 	0.0000 	3.5088 
FH	0	3	1	2	0.0000 	3.4884 	1.7241 	3.5088 
KMO	0	3	1	2	0.0000 	3.4884 	1.7241 	3.5088 
OPN3	0	3	1	2	0.0000 	3.4884 	1.7241 	3.5088 
CHML	0	3	1	2	0.0000 	3.4884 	1.7241 	3.5088 
WDR64	0	3	1	2	0.0000 	3.4884 	1.7241 	3.5088 
EXO1	0	3	0	2	0.0000 	3.4884 	0.0000 	3.5088 
MAP1LC3C	0	3	0	2	0.0000 	3.4884 	0.0000 	3.5088 
PLD5	0	3	0	2	0.0000 	3.4884 	0.0000 	3.5088 
CEP170	0	3	0	2	0.0000 	3.4884 	0.0000 	3.5088 
RP11-261C10.3	0	3	0	2	0.0000 	3.4884 	0.0000 	3.5088 
SDCCAG8	0	3	0	2	0.0000 	3.4884 	0.0000 	3.5088 
MIR4677	0	3	0	2	0.0000 	3.4884 	0.0000 	3.5088 
AKT3	0	3	0	2	0.0000 	3.4884 	0.0000 	3.5088 
RP11-278H7.1	0	3	0	2	0.0000 	3.4884 	0.0000 	3.5088 
ZBTB18	0	3	0	2	0.0000 	3.4884 	0.0000 	3.5088 
C1orf100	0	3	0	2	0.0000 	3.4884 	0.0000 	3.5088 
ADSS	0	3	0	2	0.0000 	3.4884 	0.0000 	3.5088 
C1orf101	0	3	0	2	0.0000 	3.4884 	0.0000 	3.5088 
DESI2	0	3	0	2	0.0000 	3.4884 	0.0000 	3.5088 
COX20	0	3	0	2	0.0000 	3.4884 	0.0000 	3.5088 
HNRNPU-AS1	0	3	0	2	0.0000 	3.4884 	0.0000 	3.5088 
HNRNPU	0	3	0	2	0.0000 	3.4884 	0.0000 	3.5088 
EFCAB2	0	3	0	2	0.0000 	3.4884 	0.0000 	3.5088 
KIF26B	0	4	0	2	0.0000 	4.6512 	0.0000 	3.5088 
SMYD3	0	5	0	2	0.0000 	5.8140 	0.0000 	3.5088 
AHCTF1	1	4	0	2	1.1628 	4.6512 	0.0000 	3.5088 
